Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000188976,NOC2L,69,1.41323,10,-1.6140,44,0.63368,13,-1.1741,39,0.51998,24,-0.3519,21,-0.5645
ENSG00000188290,HES4,68,-0.5568,13,-2.9441,29,-1.8071,33,-1.6348,82,-0.2881,155,0.97838,132,0.62296
ENSG00000187608,ISG15,21,-1.7425,40,-0.7416,18,-1.9525,74,0.19319,61,-0.1271,98,0.82560,73,0.21333
ENSG00000078808,SDF4,55,-0.0838,43,-0.4629,31,-0.9256,34,-0.8111,65,0.20075,62,0.13431,72,0.42685
ENSG00000160087,UBE2J2,19,-0.7905,42,0.39594,18,-0.9284,48,0.58606,35,0.13227,29,-0.2078,36,0.17767
ENSG00000131584,ACAP3,162,1.33987,58,-0.3438,36,-1.0543,15,-2.3190,52,-0.5531,70,-0.0416,93,0.50862
ENSG00000127054,INTS11,40,0.18661,47,0.42505,17,-1.1127,37,0.07230,29,-0.3497,29,-0.3510,47,0.54385
ENSG00000107404,DVL1,60,-0.2233,32,-1.1716,26,-1.4726,15,-2.2633,53,-0.4443,84,0.39602,112,1.03373
ENSG00000175756,AURKAIP1,87,-1.1395,63,-1.6119,141,-0.4069,157,-0.2394,213,0.26638,217,0.33675,224,0.40123
ENSG00000221978,CCNL2,151,1.67973,44,-0.3618,7,-2.9600,46,-0.2728,35,-0.7362,40,-0.5997,75,0.62390
ENSG00000242485,MRPL20,78,-1.1171,76,-1.1511,125,-0.4011,142,-0.2099,248,0.77089,187,0.27516,157,-0.0676
ENSG00000179403,VWA1,11,-1.9650,144,2.15714,3,-3.6419,43,0.07705,18,-1.3118,24,-0.9681,62,0.84106
ENSG00000205090,TMEM240,30,0.32435,10,-1.3407,22,-0.1936,1,-4.3000,48,1.23079,28,0.24921,18,-0.5859
ENSG00000160075,SSU72,82,-0.9180,50,-1.6499,120,-0.3443,111,-0.4702,222,0.71291,200,0.58699,130,-0.2662
ENSG00000228594,FNDC10,39,0.58563,0,-7.1171,14,-0.9382,1,-4.5775,24,-0.1482,27,0.01879,46,1.14818
ENSG00000272106,AL691432.2,23,-0.1996,40,0.66856,24,-0.1414,12,-1.2221,31,0.26060,28,0.13670,24,-0.1970
ENSG00000197530,MIB2,40,0.10744,27,-0.4840,24,-0.6599,10,-1.9787,26,-0.5861,45,0.34179,54,0.74402
ENSG00000248333,CDK11B,133,1.33859,78,0.42864,117,1.10662,36,-0.7516,44,-0.4977,53,-0.1985,33,-1.0345
ENSG00000008128,CDK11A,143,2.34362,52,0.51599,55,0.61694,25,-0.6320,15,-1.4060,24,-0.8135,24,-0.7875
ENSG00000078369,GNB1,445,-0.4928,246,-1.3904,471,-0.4064,255,-1.3355,598,-0.0390,849,0.67379,726,0.34017
ENSG00000187730,GABRD,107,0.34104,9,-3.2985,64,-0.4668,8,-3.5021,221,1.87387,79,-0.1616,57,-0.7507
ENSG00000067606,PRKCZ,131,-0.3376,57,-1.5868,139,-0.2440,67,-1.3394,190,0.28104,255,0.95592,136,-0.3321
ENSG00000162585,FAAP20,31,-0.6886,26,-0.9956,69,0.52677,3,-4.0619,34,-0.6360,76,0.89180,56,0.26238
ENSG00000157933,SKI,21,-1.0468,43,0.03685,43,0.03897,11,-1.9264,25,-0.8681,33,-0.4158,78,1.38328
ENSG00000157916,RER1,49,-0.4344,57,-0.1876,15,-2.1786,8,-3.0589,82,0.41993,31,-1.2566,130,1.57952
ENSG00000157911,PEX10,25,-0.4179,20,-0.7536,13,-1.3311,10,-1.7697,29,-0.1893,45,0.60951,45,0.61477
ENSG00000197921,HES5,15,-1.4560,1,-5.0775,3,-3.6908,0,-6.6700,10,-2.1257,27,-0.6522,117,3.08322
ENSG00000157870,PRXL2B,71,0.76104,15,-1.6488,10,-2.2235,25,-0.8319,55,0.40312,58,0.54191,41,-0.1198
ENSG00000177133,PRDM16-DT,14,-1.5442,2,-4.2253,5,-2.9199,20,-1.0969,7,-2.6627,37,-0.1723,107,2.49967
ENSG00000158109,TPRG1L,44,-1.5695,57,-1.1791,76,-0.7427,40,-1.6890,174,0.61157,180,0.77937,126,0.03634
ENSG00000130764,LRRC47,47,-0.0751,14,-1.8895,30,-0.7763,27,-0.9343,99,1.32105,45,-0.1776,47,-0.0782
ENSG00000116198,CEP104,67,0.76682,121,1.81365,52,0.35944,62,0.64489,12,-1.9710,21,-1.1960,36,-0.2460
ENSG00000196581,AJAP1,73,1.35627,27,-0.2813,22,-0.5799,41,0.37265,63,1.25688,25,-0.4895,8,-2.2923
ENSG00000069424,KCNAB2,177,0.10959,49,-1.8352,43,-2.0107,15,-3.5726,175,0.10745,248,0.85005,200,0.38710
ENSG00000116254,CHD5,993,1.95840,71,-2.2462,912,1.79648,82,-2.0284,140,-1.3260,306,-0.0643,180,-1.0015
ENSG00000116251,RPL22,451,-1.0434,855,-0.0648,1255,0.54886,1463,0.80273,632,-0.5759,1086,0.39537,714,-0.4110
ENSG00000116237,ICMT,37,0.34159,42,0.52437,14,-1.1839,1,-4.5031,43,0.65596,18,-0.8650,41,0.65549
ENSG00000097021,ACOT7,54,-0.9041,28,-1.8969,34,-1.6115,8,-3.5659,307,2.44189,79,-0.3881,66,-0.7070
ENSG00000007923,DNAJC11,17,-0.7177,21,-0.3833,32,0.26224,2,-3.8240,35,0.42022,23,-0.3617,40,0.75905
ENSG00000171735,CAMTA1,638,1.02163,204,-0.7948,339,-0.0091,231,-0.6033,347,0.03196,350,0.05144,312,-0.1698
ENSG00000049245,VAMP3,22,-1.1616,104,1.31098,15,-1.7278,73,0.70617,24,-1.1045,41,-0.2540,59,0.48081
ENSG00000049246,PER3,49,0.22868,28,-0.6272,29,-0.5838,15,-1.5294,29,-0.6338,36,-0.2956,74,1.19414
ENSG00000116288,PARK7,202,-1.2115,232,-1.0015,281,-0.7117,423,-0.0830,507,0.22424,520,0.30271,546,0.40639
ENSG00000142599,RERE,285,1.22973,156,0.23123,148,0.14894,186,0.50960,89,-0.6871,103,-0.4884,118,-0.2476
ENSG00000074800,ENO1,323,-1.3471,313,-1.3909,203,-2.0370,533,-0.5892,602,-0.4385,565,-0.5912,1697,1.83704
ENSG00000171612,SLC25A33,33,-1.3315,14,-2.5812,45,-0.8821,10,-3.0349,47,-0.8822,69,-0.2790,185,2.04355
ENSG00000171603,CLSTN1,480,0.48456,182,-1.0212,226,-0.6938,161,-1.2042,732,1.39311,221,-0.8511,358,0.02122
ENSG00000178585,CTNNBIP1,30,-0.7084,5,-3.3001,48,0.00752,48,0.01408,40,-0.3021,61,0.48644,60,0.44701
ENSG00000162441,LZIC,74,-0.2108,134,0.74669,126,0.64494,116,0.50273,53,-0.7787,62,-0.5529,90,0.12580
ENSG00000130939,UBE4B,22,-0.2509,67,1.54452,20,-0.4089,3,-3.1230,41,0.77893,10,-1.5503,30,0.27453
ENSG00000054523,KIF1B,301,0.00450,529,0.92046,283,-0.0931,505,0.84027,237,-0.3997,195,-0.7837,309,0.05533
ENSG00000142657,PGD,37,-0.1295,36,-0.1872,20,-1.0350,29,-0.5297,58,0.64153,23,-0.9540,59,0.77368
ENSG00000241563,CORT,78,-0.5011,26,-2.1224,58,-0.9507,68,-0.7017,150,0.59937,47,-1.4288,206,1.46151
ENSG00000160049,DFFA,112,0.96013,76,0.32792,44,-0.5294,16,-2.0418,45,-0.5462,53,-0.3053,83,0.58631
ENSG00000120948,TARDBP,119,0.52391,112,0.42750,71,-0.3015,44,-1.0263,108,0.40985,73,-0.2882,82,-0.0805
ENSG00000116649,SRM,54,-0.7551,28,-1.7275,36,-1.3732,34,-1.4489,95,0.11116,88,-0.0135,153,1.17925
ENSG00000171824,EXOSC10,93,1.74296,33,-0.0125,12,-1.5463,36,0.14353,36,0.15057,22,-0.7179,28,-0.3055
ENSG00000198793,MTOR,51,0.70126,34,0.03292,9,-1.8983,17,-1.0003,49,0.70784,12,-1.6945,50,0.87410
ENSG00000116661,FBXO2,130,-1.1404,90,-1.6907,36,-3.0046,118,-1.2828,230,-0.2964,286,0.07970,533,1.49978
