Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000132879,FBXO44,94,0.38746,18,-2.0680,11,-2.8288,51,-0.5585,120,0.89266,58,-0.4445,99,0.59067
ENSG00000011021,CLCN6,31,-0.5491,23,-1.0169,33,-0.4737,49,0.15421,45,0.02070,37,-0.3736,67,0.82890
ENSG00000116685,KIAA2013,33,0.15556,53,0.93335,4,-3.0289,50,0.81949,30,-0.0101,21,-0.6343,32,0.13812
ENSG00000116688,MFN2,75,-0.0182,84,0.14924,38,-1.0438,41,-0.9408,121,0.84778,93,0.38623,52,-0.6978
ENSG00000048707,VPS13D,77,0.67753,45,-0.1690,44,-0.2144,24,-1.0925,64,0.43552,42,-0.3385,53,0.09976
ENSG00000116731,PRDM2,381,1.21900,180,-0.0091,423,1.40307,158,-0.2187,167,-0.1459,137,-0.5141,97,-1.1085
ENSG00000189337,KAZN,70,0.28340,91,0.71440,79,0.48010,37,-0.7168,54,-0.1449,40,-0.6835,66,0.22658
ENSG00000142634,EFHD2,142,1.28996,36,-0.9204,151,1.39756,53,-0.3108,44,-0.6299,56,-0.2800,47,-0.5933
ENSG00000116786,PLEKHM2,53,-1.4860,49,-1.6070,132,-0.1067,46,-1.6786,103,-0.5216,263,1.38498,139,-0.0275
ENSG00000065526,SPEN,214,0.83751,300,1.42581,216,0.85569,190,0.64209,72,-0.9315,75,-0.9508,79,-0.8458
ENSG00000055070,SZRD1,31,-0.2823,56,0.66514,34,-0.1349,20,-0.9001,19,-1.0649,46,0.44477,42,0.23805
ENSG00000159363,ATP13A2,58,-0.3386,31,-1.2691,39,-0.9303,10,-2.9552,104,0.65359,67,-0.1434,107,0.80675
ENSG00000117118,SDHB,23,-2.0587,68,-0.4580,28,-1.7842,40,-1.2429,130,0.63806,101,0.19815,124,0.62722
ENSG00000117115,PADI2,32,-1.5042,342,2.42652,37,-1.2771,48,-0.8876,26,-1.8771,43,-1.2213,132,0.88461
ENSG00000117154,IGSF21,63,0.13191,56,-0.0596,47,-0.3129,25,-1.2563,94,0.87720,76,0.54801,29,-1.1832
ENSG00000159423,ALDH4A1,21,-1.1276,18,-1.3466,4,-3.3232,27,-0.7929,16,-1.6853,70,0.92282,77,1.12471
ENSG00000127481,UBR4,56,0.77646,58,0.82155,37,0.10642,29,-0.2396,28,-0.3416,26,-0.5290,33,-0.0603
ENSG00000127463,EMC1,20,-0.4621,24,-0.1925,3,-3.1064,25,-0.0989,42,0.78674,7,-2.1996,49,1.30443
ENSG00000053372,MRTO4,21,-1.2566,21,-1.2289,13,-1.9737,38,-0.3411,60,0.40726,76,0.96381,45,-0.1355
ENSG00000053371,AKR7A2,24,-1.3796,57,-0.0577,45,-0.4133,20,-1.6215,40,-0.6563,55,-0.1492,107,1.29316
ENSG00000077549,CAPZB,188,-0.3078,134,-0.8302,127,-0.9077,84,-1.5203,314,0.56139,226,-0.0263,305,0.57326
ENSG00000173436,MICOS10,245,-0.9569,232,-1.0425,799,0.90612,476,0.06462,394,-0.2522,651,0.72695,332,-0.5901
ENSG00000158747,NBL1,163,0.07419,71,-1.1976,116,-0.4558,48,-1.7822,162,0.06711,156,0.00744,226,0.77003
ENSG00000162545,CAMK2N1,1640,-1.0753,1354,-1.3622,2233,-0.6076,1235,-1.4994,3471,0.08526,5249,0.98190,3503,0.11322
ENSG00000158828,PINK1,229,-0.7816,176,-1.1761,361,-0.0774,254,-0.6199,468,0.37003,542,0.73494,324,-0.2943
ENSG00000244038,DDOST,35,0.01821,28,-0.3120,13,-1.4544,22,-0.7082,48,0.56678,15,-1.4774,60,1.16186
ENSG00000127483,HP1BP3,363,0.60930,530,1.24779,253,0.03112,462,1.01023,163,-0.7062,165,-0.7460,185,-0.5457
ENSG00000075151,EIF4G3,405,1.35181,209,0.24748,211,0.26345,165,-0.1239,253,0.62144,118,-0.7588,99,-1.0457
ENSG00000076864,RAP1GAP,151,1.45110,38,-0.7742,13,-2.3190,28,-1.2304,112,1.06862,37,-0.9541,64,0.02257
ENSG00000090686,USP48,125,0.92941,137,1.08157,84,0.27646,117,0.81594,59,-0.2868,39,-1.0414,49,-0.6651
ENSG00000070831,CDC42,137,-0.5743,218,0.14547,138,-0.5609,225,0.19759,282,0.63072,164,-0.3496,202,0.03700
ENSG00000173372,C1QA,29,-0.7164,9,-2.4319,21,-1.1669,0,-7.5663,29,-0.7513,86,1.35905,60,0.52713
ENSG00000159189,C1QC,16,-1.3661,24,-0.8063,29,-0.4745,20,-1.0346,13,-1.7571,62,0.88797,60,0.84949
ENSG00000173369,C1QB,34,-0.9467,15,-2.0841,22,-1.5482,19,-1.8032,33,-1.0283,129,1.65718,69,0.19818
ENSG00000004487,KDM1A,58,0.33624,29,-0.7420,51,0.13227,97,1.19010,60,0.45791,20,-1.4377,48,0.06104
ENSG00000169641,LUZP1,228,1.47647,50,-0.9762,192,1.17356,47,-1.0392,113,0.32821,78,-0.3475,50,-1.1181
ENSG00000125944,HNRNPR,130,-0.1131,250,0.95118,107,-0.4085,199,0.57415,156,0.20306,101,-0.5800,123,-0.2393
ENSG00000117318,ID3,23,-1.9131,75,-0.1161,17,-2.3411,21,-2.0380,5,-4.0175,167,1.67260,108,0.57878
ENSG00000142676,RPL11,413,-1.2133,1066,0.24446,1050,0.21981,1361,0.64053,592,-0.7237,1199,0.55033,764,-0.3339
ENSG00000011007,ELOA,77,1.31523,50,0.59232,31,-0.1805,59,0.86847,26,-0.4802,37,0.12369,12,-1.8146
ENSG00000057757,PITHD1,116,0.06152,93,-0.2841,76,-0.6035,82,-0.4886,198,1.06003,101,-0.1965,92,-0.3530
ENSG00000189266,PNRC2,71,-0.0748,96,0.40863,27,-1.5018,119,0.75338,76,0.04960,84,0.23591,58,-0.4560
ENSG00000188529,SRSF10,90,0.30901,111,0.64611,36,-1.1044,69,-0.1197,73,-0.0233,67,-0.1994,80,0.12822
ENSG00000001461,NIPAL3,134,0.54157,313,2.04016,85,-0.1809,71,-0.4556,70,-0.5299,65,-0.7014,70,-0.5753
ENSG00000133226,SRRM1,482,1.06112,493,1.10014,551,1.29243,266,0.08861,132,-1.0536,192,-0.5005,129,-1.1752
ENSG00000169504,CLIC4,33,-1.2800,289,2.29534,21,-1.9481,85,0.14675,14,-2.6263,120,0.90352,39,-1.2162
ENSG00000117614,SYF2,146,-0.0641,184,0.30183,219,0.58215,231,0.66917,122,-0.3705,121,-0.4291,147,-0.0723
ENSG00000117616,RSRP1,255,1.93367,140,0.86442,16,-2.4528,24,-1.8666,87,0.10751,38,-1.3210,87,0.11010
ENSG00000183726,TMEM50A,59,-0.4888,121,0.64530,41,-1.0447,71,-0.2014,98,0.33993,84,0.07766,76,-0.1021
ENSG00000204178,MACO1,117,1.54637,100,1.26800,85,0.98708,11,-2.1305,41,-0.2155,31,-0.7352,23,-1.2385
ENSG00000117643,MAN1C1,20,-0.1229,4,-2.2570,3,-2.9330,14,-0.6001,47,1.49037,18,-0.3109,23,0.10864
ENSG00000162430,SELENON,48,0.58721,26,-0.3474,2,-3.7056,9,-1.8394,13,-1.4887,43,0.55519,51,0.91632
ENSG00000117640,MTFR1L,40,-0.5594,28,-1.1011,45,-0.3699,47,-0.3316,66,0.22587,58,-0.0031,76,0.55673
ENSG00000117632,STMN1,631,-0.6488,908,-0.0869,1067,0.16765,687,-0.5190,1908,1.30938,955,-0.0085,513,-1.1101
ENSG00000158008,EXTL1,38,0.10019,1,-4.3707,42,0.26427,3,-3.2836,46,0.46083,43,0.35794,40,0.25065
ENSG00000142684,ZNF593,28,-0.4642,20,-0.9766,26,-0.6091,27,-0.5157,59,0.77730,38,0.00740,41,0.16280
ENSG00000142669,SH3BGRL3,122,-0.7970,146,-0.5218,130,-0.6988,242,0.26706,197,-0.0605,275,0.60328,198,-0.0621
ENSG00000158062,UBXN11,10,-1.4307,17,-0.6616,20,-0.4256,7,-2.0086,22,-0.2850,47,1.24427,26,-0.0362
ENSG00000198830,HMGN2,185,-0.5890,431,0.74527,156,-0.8505,441,0.78446,186,-0.6328,251,-0.1476,306,0.23556
ENSG00000117713,ARID1A,111,0.58299,136,0.92598,23,-1.8093,78,0.02645,52,-0.6604,56,-0.5934,102,0.56041
ENSG00000090273,NUDC,148,-0.7199,161,-0.5952,299,0.37314,232,-0.0260,286,0.33807,279,0.32487,196,-0.3501
ENSG00000253368,TRNP1,40,-0.3060,3,-4.0353,17,-1.5878,5,-3.1711,63,0.45449,78,0.98418,53,0.18037
ENSG00000142784,WDTC1,35,0.23406,20,-0.6508,45,0.62036,9,-1.8033,18,-0.8855,34,0.23194,39,0.50845
ENSG00000186501,TMEM222,62,0.61593,40,-0.0866,4,-3.3997,15,-1.5635,38,-0.1924,35,-0.3146,68,1.00097
ENSG00000158195,WASF2,40,-0.9583,250,2.09150,57,-0.4025,80,0.11412,12,-2.8147,72,-0.0742,76,0.03066
ENSG00000126705,AHDC1,96,1.62699,26,-0.5192,11,-1.7875,34,-0.1180,39,0.13980,31,-0.3038,33,-0.1993
ENSG00000126709,IFI6,170,0.62812,93,-0.3247,123,0.10380,232,1.15711,96,-0.3046,99,-0.2760,90,-0.4481
ENSG00000117758,STX12,78,-0.5801,80,-0.5355,109,-0.0605,134,0.26100,130,0.23690,116,0.03438,118,0.07600
ENSG00000117751,PPP1R8,46,0.84123,31,0.22162,31,0.23593,19,-0.5190,30,0.19078,17,-0.8575,29,0.12434
ENSG00000117748,RPA2,40,-0.5075,49,-0.1743,19,-1.5815,40,-0.4750,109,1.28801,38,-0.6590,60,0.16491
ENSG00000126698,DNAJC8,174,-0.5892,363,0.56227,382,0.64780,367,0.58226,237,-0.1262,237,-0.1386,197,-0.4798
ENSG00000130770,ATP5IF1,236,-1.3055,98,-2.5906,427,-0.4054,320,-0.8457,1029,1.16303,681,0.41168,489,-0.2346
ENSG00000198492,YTHDF2,60,0.08155,73,0.38556,30,-0.9906,39,-0.5943,103,1.09430,36,-0.8106,56,-0.0261
ENSG00000116350,SRSF4,147,0.69343,94,-0.0200,212,1.31571,103,0.11628,69,-0.5501,66,-0.6620,84,-0.2314
ENSG00000116353,MECR,17,-0.5712,0,-6.3899,23,-0.1106,11,-1.2194,43,1.01819,39,0.98060,14,-1.0225
ENSG00000162511,LAPTM5,21,-1.9332,21,-1.9091,65,-0.2531,23,-1.8158,36,-1.2209,155,1.59517,85,0.19571
ENSG00000162512,SDC3,213,0.90547,80,-0.6556,22,-2.5225,136,0.17301,80,-0.7010,93,-0.4897,190,0.93968
ENSG00000134644,PUM1,193,0.84766,154,0.47261,122,0.10147,106,-0.1124,148,0.45686,74,-0.7920,93,-0.3780
ENSG00000121766,ZCCHC17,124,-0.1114,174,0.42980,81,-0.7646,156,0.24965,179,0.52866,150,0.23423,85,-0.8140
ENSG00000121769,FABP3,36,-1.0610,30,-1.3372,37,-1.0059,36,-1.0350,158,1.51929,87,0.36771,49,-0.6763
ENSG00000162517,PEF1,77,0.43089,14,-2.0899,15,-1.9978,0,-7.4512,108,1.12216,61,0.05303,68,0.27131
ENSG00000084636,COL16A1,78,1.02999,70,0.85113,13,-1.7436,14,-1.6222,23,-0.9210,24,-0.9703,67,1.03899
ENSG00000121753,ADGRB2,158,0.40487,48,-1.4316,58,-1.1466,45,-1.4988,197,0.86928,128,0.09211,127,0.07303
ENSG00000184007,PTP4A2,258,-0.4806,1312,2.30687,378,0.11030,993,1.75627,155,-1.3323,208,-0.9423,116,-1.8834
ENSG00000121774,KHDRBS1,95,-0.5546,186,0.49707,93,-0.5824,116,-0.2482,219,0.87872,99,-0.5857,135,-0.0072
ENSG00000025800,KPNA6,122,0.94688,83,0.31751,36,-0.9737,57,-0.2677,96,0.60986,54,-0.4447,56,-0.3784
ENSG00000160050,CCDC28B,4,-2.9451,22,-0.5666,3,-3.3170,49,0.70653,48,0.75150,17,-1.0976,51,1.03368
ENSG00000084623,EIF3I,59,-0.7290,57,-0.7722,57,-0.7675,124,0.43285,120,0.41740,82,-0.2743,117,0.43474
ENSG00000175130,MARCKSL1,197,-1.0208,1161,1.88779,127,-1.6719,407,0.09284,159,-1.4303,274,-0.6155,525,0.63761
ENSG00000160058,BSDC1,71,0.32587,77,0.46149,75,0.40661,32,-0.8816,57,-0.0398,39,-0.7042,69,0.35693
ENSG00000176261,ZBTB8OS,25,-1.0314,38,-0.4390,62,0.34292,26,-1.0073,58,0.25816,71,0.72497,40,-0.4180
ENSG00000162521,RBBP4,106,-0.2008,141,0.23742,50,-1.3366,142,0.25392,119,-0.0322,90,-0.5460,169,0.67865
ENSG00000134684,YARS,38,-0.9910,45,-0.7265,46,-0.6813,33,-1.1655,155,1.47540,47,-0.7634,84,0.29371
ENSG00000160097,FNDC5,29,0.01724,3,-3.0565,31,0.12853,6,-2.3661,42,0.66683,31,0.17235,33,0.24491
ENSG00000121905,HPCA,74,-1.4609,19,-3.4070,98,-1.0557,25,-3.0363,446,1.62462,270,0.66795,139,-0.6126
ENSG00000121900,TMEM54,12,-2.1886,44,-0.3172,52,-0.0643,85,0.70952,33,-0.8058,61,0.21363,70,0.50806
ENSG00000004455,AK2,41,-0.1123,54,0.31823,9,-2.3756,94,1.24316,25,-0.9219,43,-0.0377,50,0.26297
ENSG00000134686,PHC2,29,-0.9438,99,0.95456,35,-0.6801,31,-0.8477,42,-0.4499,57,0.08751,69,0.45782
ENSG00000163866,SMIM12,10,-1.7363,7,-2.2263,38,0.23149,25,-0.3757,60,1.13393,44,0.59213,20,-0.8839
ENSG00000116544,DLGAP3,51,-0.2701,17,-1.9165,31,-1.0084,33,-0.9188,51,-0.2816,90,0.82232,74,0.39774
ENSG00000116560,SFPQ,635,1.33167,466,0.80109,463,0.79120,268,-0.0889,193,-0.6465,186,-0.7666,210,-0.5518
ENSG00000146463,ZMYM4,103,0.85346,80,0.44133,64,0.06922,117,1.06539,61,0.00330,38,-0.8547,44,-0.6074
ENSG00000142687,KIAA0319L,57,-0.1058,71,0.24924,53,-0.2040,27,-1.2341,47,-0.4380,62,0.02306,81,0.58010
ENSG00000020129,NCDN,286,0.08468,85,-1.7487,59,-2.3026,42,-2.7919,685,1.85807,215,-0.4281,256,-0.1111
ENSG00000126067,PSMB2,88,0.19411,60,-0.3963,38,-1.0923,68,-0.2170,119,0.76433,77,-0.0235,71,-0.1809
ENSG00000142686,C1orf216,32,-0.7190,24,-1.1146,30,-0.8073,34,-0.6370,138,2.00636,43,-0.3024,29,-0.9813
ENSG00000092847,AGO1,64,0.92620,34,-0.0996,33,-0.1266,52,0.57427,32,-0.2133,29,-0.4099,33,-0.1524
ENSG00000126070,AGO3,100,1.46279,100,1.46314,16,-1.3966,31,-0.4353,29,-0.5671,33,-0.4350,31,-0.5436
ENSG00000054116,TRAPPC3,21,-1.0747,4,-3.4019,9,-2.3062,57,0.48537,83,1.27187,35,-0.3723,49,0.28410
ENSG00000116871,MAP7D1,143,-0.2020,309,1.04599,93,-0.8638,137,-0.2733,227,0.59321,149,-0.1720,124,-0.4967
ENSG00000054118,THRAP3,283,1.36981,229,1.00559,144,0.24677,115,-0.1064,109,-0.2053,84,-0.6915,79,-0.7937
ENSG00000181817,LSM10,42,-0.3216,8,-2.7304,38,-0.4854,41,-0.3462,55,0.11511,72,0.65738,56,0.13781
ENSG00000116898,MRPS15,42,-0.7264,21,-1.7281,91,0.47903,29,-1.2920,90,0.51871,94,0.67215,55,-0.3851
ENSG00000163875,MEAF6,80,-0.1853,109,0.30536,85,-0.0896,54,-0.7907,150,0.94357,89,-0.0090,61,-0.7054
ENSG00000134697,GNL2,19,-0.6056,38,0.42587,17,-0.8305,56,1.08392,30,0.09785,30,0.05323,22,-0.4948
ENSG00000197982,C1orf122,121,-1.2471,182,-0.6384,246,-0.1725,358,0.41959,180,-0.7056,366,0.58240,311,0.24168
ENSG00000183431,SF3A3,48,0.15431,105,1.44866,18,-1.3481,40,-0.1328,64,0.69598,27,-0.8794,35,-0.4135
ENSG00000183520,UTP11,41,-0.0679,51,0.28134,35,-0.3019,17,-1.3941,47,0.14093,43,0.01844,49,0.26160
ENSG00000116954,RRAGC,37,0.07423,95,1.62880,22,-0.7093,18,-1.0394,43,0.31292,22,-0.8515,35,-0.0524
ENSG00000174574,AKIRIN1,73,0.08183,73,0.06896,84,0.30148,36,-1.0008,80,0.24808,64,-0.1583,72,0.06876
ENSG00000168653,NDUFS5,309,-1.1716,342,-1.0178,803,0.30154,411,-0.7395,921,0.58923,889,0.59368,531,-0.4161
ENSG00000127603,MACF1,489,0.63782,585,0.93735,415,0.37137,261,-0.3586,139,-1.3940,189,-0.9876,450,0.63921
ENSG00000090621,PABPC4,89,-0.1841,110,0.15487,112,0.18353,134,0.47016,57,-0.9153,111,0.20158,102,0.04274
ENSG00000116983,HPCAL4,293,-0.0713,69,-2.2384,231,-0.4396,227,-0.4645,336,0.15991,336,0.17979,393,0.49830
ENSG00000084072,PPIE,45,0.31065,25,-0.5707,22,-0.7976,37,0.00696,55,0.72123,26,-0.6049,41,0.22142
ENSG00000131236,CAP1,143,-0.2833,198,0.22740,89,-1.0026,191,0.16484,184,0.11794,131,-0.5009,227,0.55959
ENSG00000131238,PPT1,88,-0.7561,89,-0.7365,56,-1.4243,127,-0.1954,193,0.52912,107,-0.5430,219,0.88310
ENSG00000084073,ZMPSTE24,21,-0.8464,65,0.88936,13,-1.5237,42,0.16766,27,-0.5169,33,-0.2258,51,0.62810
ENSG00000084070,SMAP2,164,1.03499,31,-1.5785,77,-0.1923,88,0.01296,160,1.13222,88,0.01642,34,-1.6044
ENSG00000117016,RIMS3,108,-0.3856,2,-5.9177,39,-1.9102,1,-6.3909,159,0.23539,227,1.04004,173,0.44067
ENSG00000066136,NFYC,35,0.61310,15,-0.7134,13,-0.9432,0,-6.6722,37,0.77894,17,-0.6572,34,0.68795
ENSG00000198815,FOXJ3,68,1.05671,50,0.52568,3,-3.5128,41,0.20380,58,0.87543,22,-0.8764,28,-0.4108
ENSG00000177181,RIMKLA,8,-2.2265,8,-2.1920,58,0.79162,2,-3.9181,48,0.54885,58,1.04594,26,-0.5498
ENSG00000127125,PPCS,36,-0.9172,62,-0.0805,39,-0.7997,73,0.18671,84,0.44727,63,-0.0488,71,0.17590
ENSG00000186409,CCDC30,100,1.11091,44,-0.2199,127,1.52790,89,0.90923,23,-1.2688,35,-0.6681,32,-0.8083
ENSG00000065978,YBX1,117,-1.2432,313,0.27087,291,0.15797,299,0.20200,144,-0.9944,342,0.52400,276,0.09222
ENSG00000177868,SVBP,29,-1.3002,44,-0.6633,52,-0.4157,71,0.06114,73,0.10342,83,0.39452,76,0.20912
ENSG00000117394,SLC2A1,21,-2.2447,46,-1.0946,15,-2.7770,23,-2.1082,29,-1.8878,257,2.62281,70,-0.5747
ENSG00000117395,EBNA1BP2,20,-1.9312,62,-0.2879,46,-0.7321,64,-0.2338,143,1.23304,74,-0.0110,64,-0.2797
ENSG00000159479,MED8,29,0.11684,26,-0.0286,14,-0.9313,10,-1.5095,47,1.06178,26,-0.0430,22,-0.3004
ENSG00000142949,PTPRF,59,-0.3615,96,0.40845,9,-3.1401,35,-1.1251,92,0.37255,58,-0.4637,112,0.85235
